STATION_ID,DURATION,DATE TIME,OBS DATE,STORAGE,DATA_FLAG,UNITS,INFLOW,OUTFLOW
BER,D,20010923 0000,20010923 0000,1269565,,AF,63,312
BER,D,20010924 0000,20010924 0000,1269216,,AF,238,311
BER,D,20010925 0000,20010925 0000,1268343,,AF,-90,301
BER,D,20010926 0000,20010926 0000,1267469,,AF,-97,290
BER,D,20010927 0000,20010927 0000,1266422,,AF,-157,290
BER,D,20010928 0000,20010928 0000,1265723,,AF,33,271
BER,D,20010929 0000,20010929 0000,1264850,,AF,-99,260
BER,D,20010930 0000,20010930 0000,1264326,,AF,88,260
BER,D,20011001 0000,20011001 0000,1263627,,AF,32,260
BER,D,20011002 0000,20011002 0000,1262928,,AF,37,260
BER,D,20011003 0000,20011003 0000,1262230,,AF,32,260
BER,D,20011004 0000,20011004 0000,1261531,,AF,30,264
BER,D,20011005 0000,20011005 0000,1261007,,AF,113,270
BER,D,20011006 0000,20011006 0000,1259959,,AF,-172,261
BER,D,20011007 0000,20011007 0000,1259610,,AF,119,233
BER,D,20011008 0000,20011008 0000,1259610,,AF,298,231
BER,D,20011009 0000,20011009 0000,1257514,,AF,-738,235
BER,D,20011010 0000,20011010 0000,1256990,,AF,55,235
BER,D,20011011 0000,20011011 0000,1256291,,AF,-3,254
BER,D,20011012 0000,20011012 0000,1254545,,AF,-503,259
BER,D,20011013 0000,20011013 0000,1254370,,AF,288,236
BER,D,20011014 0000,20011014 0000,1253846,,AF,9,155
BER,D,20011015 0000,20011015 0000,1253497,,AF,91,155
BER,D,20011016 0000,20011016 0000,1252975,,AF,1,186
BER,D,20011017 0000,20011017 0000,1252627,,AF,68,176
BER,D,20011018 0000,20011018 0000,1251933,,AF,-107,181
BER,D,20011019 0000,20011019 0000,1251586,,AF,72,180
BER,D,20011020 0000,20011020 0000,1251065,,AF,49,250
BER,D,20011021 0000,20011021 0000,1250370,,AF,-49,223
BER,D,20011022 0000,20011022 0000,1249502,,AF,-188,200
BER,D,20011023 0000,20011023 0000,1248807,,AF,-81,213
BER,D,20011024 0000,20011024 0000,1248286,,AF,41,209
BER,D,20011025 0000,20011025 0000,1247766,,AF,63,230
BER,D,20011026 0000,20011026 0000,1247071,,AF,-61,211
BER,D,20011027 0000,20011027 0000,1246376,,AF,-109,185
BER,D,20011028 0000,20011028 0000,1246029,,AF,41,160
BER,D,20011029 0000,20011029 0000,1246029,,AF,157,118
BER,D,20011030 0000,20011030 0000,1246203,,AF,196,91
BER,D,20011031 0000,20011031 0000,1246029,,AF,17,88
BER,D,20011101 0000,20011101 0000,1245855,,AF,39,105
BER,D,20011102 0000,20011102 0000,1245682,,AF,57,105
BER,D,20011103 0000,20011103 0000,1245335,,AF,-42,105
BER,D,20011104 0000,20011104 0000,1244987,,AF,-31,105
BER,D,20011105 0000,20011105 0000,1244640,,AF,-45,97
BER,D,20011106 0000,20011106 0000,1244466,,AF,41,85
BER,D,20011107 0000,20011107 0000,1244119,,AF,-53,94
BER,D,20011108 0000,20011108 0000,1243772,,AF,-42,105
BER,D,20011109 0000,20011109 0000,1243425,,AF,-16,98
BER,D,20011110 0000,20011110 0000,1243598,,AF,205,85
BER,D,20011111 0000,20011111 0000,1243598,,AF,104,76
BER,D,20011112 0000,20011112 0000,1246029,,AF,1313,65
BER,D,20011113 0000,20011113 0000,1246550,,AF,361,76
BER,D,20011114 0000,20011114 0000,1246550,,AF,98,87
BER,D,20011115 0000,20011115 0000,1246550,,AF,96,90
BER,D,20011116 0000,20011116 0000,1246376,,AF,8,90
BER,D,20011117 0000,20011117 0000,1246203,,AF,20,90
BER,D,20011118 0000,20011118 0000,1246029,,AF,24,90
BER,D,20011119 0000,20011119 0000,1245855,,AF,15,81
BER,D,20011120 0000,20011120 0000,1245682,,AF,-6,75
BER,D,20011121 0000,20011121 0000,1246724,,AF,622,75
BER,D,20011122 0000,20011122 0000,1247592,,AF,519,75
BER,D,20011123 0000,20011123 0000,1247418,,AF,23,100
BER,D,20011124 0000,20011124 0000,1247418,,AF,143,115
BER,D,20011125 0000,20011125 0000,1247418,,AF,137,115
BER,D,20011126 0000,20011126 0000,1247939,,AF,395,115
BER,D,20011127 0000,20011127 0000,1248113,,AF,249,133
BER,D,20011128 0000,20011128 0000,1253322,,AF,2744,96
BER,D,20011129 0000,20011129 0000,1256117,,AF,1481,55
BER,D,20011130 0000,20011130 0000,1256641,,AF,316,46
BER,D,20011201 0000,20011201 0000,1268867,,AF,6198,34
BER,D,20011202 0000,20011202 0000,1284667,,AF,7996,30
BER,D,20011203 0000,20011203 0000,1290476,,AF,2976,30
BER,D,20011204 0000,20011204 0000,1292774,,AF,1227,56
BER,D,20011205 0000,20011205 0000,1294894,,AF,1145,76
BER,D,20011206 0000,20011206 0000,1297368,,AF,1340,93
BER,D,20011207 0000,20011207 0000,1298075,,AF,468,100
BER,D,20011208 0000,20011208 0000,1299311,,AF,751,93
BER,D,20011209 0000,20011209 0000,1299842,,AF,366,80
BER,D,20011210 0000,20011210 0000,1300195,,AF,293,80
BER,D,20011211 0000,20011211 0000,1300018,,AF,20,80
BER,D,20011212 0000,20011212 0000,1300372,,AF,281,80
BER,D,20011213 0000,20011213 0000,1300725,,AF,270,80
BER,D,20011214 0000,20011214 0000,1304966,,AF,2249,76
BER,D,20011215 0000,20011215 0000,1305849,,AF,533,70
BER,D,20011216 0000,20011216 0000,1306559,,AF,451,70
BER,D,20011217 0000,20011217 0000,1308692,,AF,1169,76
BER,D,20011218 0000,20011218 0000,1310291,,AF,903,85
BER,D,20011219 0000,20011219 0000,1311002,,AF,466,85
BER,D,20011220 0000,20011220 0000,1316155,,AF,2701,85
BER,D,20011221 0000,20011221 0000,1321309,,AF,2683,79
BER,D,20011222 0000,20011222 0000,1326835,,AF,2867,75
BER,D,20011223 0000,20011223 0000,1330231,,AF,1811,75
BER,D,20011224 0000,20011224 0000,1331304,,AF,634,75
BER,D,20011225 0000,20011225 0000,1333091,,AF,1000,75
BER,D,20011226 0000,20011226 0000,1335236,,AF,1168,75
BER,D,20011227 0000,20011227 0000,1336129,,AF,531,75
BER,D,20011228 0000,20011228 0000,1344905,,AF,4530,75
BER,D,20011229 0000,20011229 0000,1355509,,AF,5433,75
BER,D,20011230 0000,20011230 0000,1364523,,AF,4625,75
